,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG
167,47.66666667,0.0846,0.000731,0.0317,0.0527,0.705,0.845,0.275,2.19E-19,2.93E-05,0,0,1,1
168,99,0.0145,0.00472,0.0239,0.0841,1.01,0.086,0,1.52E-07,0,0,0,1,0
169,97.33333333,0.0811,0.00481,0.0505,0.0262,0.665,0.841,0.345,3.11E-09,1.34E-06,0,0,1,1
170,88.33333333,0.0274,0.0059,0.00797,0.0432,0.693,0.726,0.242,1.14E-09,3.20E-05,0,0,1,1
171,28.76666667,0.0482,0.00596,0.0687,0.0296,1.46,0.714,0.139,5.22E-17,4.09E-05,0,0,1,1
172,108.3333333,0.0942,0.000748,0.0316,0.0777,1.32,1.005,0.443,1.27E-14,2.99E-05,0,0,1,1
173,65.66666667,0.0208,0.00623,0.0711,0.063,0.729,0.656,0,5.42E-08,0,0,0,1,0
174,86.33333333,0.0972,0.00386,0.0518,0.0388,0.516,0.816,0.32,8.04E-23,1.43E-05,0,0,1,1
175,23.43333333,0.0456,0.00532,0.00508,0.0444,1.14,0.07,0,1.32E-06,0,0,0,1,0
176,86,0.0578,0.0041,0.0835,0.0392,0.883,0.824,0.32,5.76E-31,1.55E-05,0,0,1,1
177,48.33333333,0.0965,0.00737,0.0588,0.0288,0.52,0.738,0.213,6.26E-16,2.43E-05,0,0,1,1
178,87,0.0269,0.00164,0.0741,0.0678,1.31,0.87,0.287,3.54E-29,3.95E-05,0,0,1,1
179,96.66666667,0.0914,0.0092,0.0619,0.0828,0.53,0.082,0,1.40E-06,0,0,0,1,0
180,54,0.0529,0.00441,0.079,0.0268,0.989,0.775,0.25,6.80E-24,8.30E-06,0,0,1,1
181,59.66666667,0.0432,0.00453,0.0658,0.0537,1.26,0.701,0,6.77E-15,0,0,0,1,0
182,85.33333333,0.0242,0.00104,0.0807,0.034,1.28,0.562,0.361,1.70E-09,1.31E-06,0.316,1.82E-09,2,1
183,79.33333333,0.0918,0.00929,0.0373,0.0814,1.23,0.066,0,1.61E-06,0,0,0,1,0
184,107.3333333,0.0364,0.00183,0.0562,0.0758,1.05,0.796,0.213,7.37E-14,4.47E-05,0,0,1,1
185,8.6,0.0409,0.000162,0.0811,0.043,0.93,0.759,0,5.07E-28,0,0,0,1,0
186,113.6666667,0.018,0.00182,0.0966,0.064,0.527,0.927,0.345,9.37E-41,2.96E-05,0,0,1,1
187,80,0.081,0.00754,0.0832,0.0347,1.41,0.779,0.271,1.50E-20,2.11E-05,0,0,1,1
188,110,0.0555,0.00887,0.0745,0.0345,0.512,0.787,0.304,1.46E-20,1.52E-05,0,0,1,1
189,28.96666667,0.0598,0.000104,0.0265,0.0463,0.877,0.254,0.258,1.62E-18,1.59E-05,0.525,1.37E-10,2,1
190,119.6666667,0.0335,0.000583,0.058,0.0741,0.87,1.013,0.447,1.31E-30,2.19E-05,0,0,1,1
191,100,0.0831,0.0063,0.091,0.084,1.25,0.053,0,3.41E-06,0,0,0,1,0
192,8.5,0.0896,0.00505,0.0784,0.0327,1.32,0.636,0,1.35E-07,0,0,0,1,0
193,71.66666667,0.0472,0.00788,0.0865,0.062,0.98,0.705,0,6.81E-09,0,0,0,1,0
194,119,0.0654,0.00366,0.0533,0.0394,0.83,0.861,0.373,1.06E-23,7.91E-06,0,0,1,1
195,92.66666667,0.0982,0.0054,0.0973,0.0514,0.723,0.837,0.328,4.19E-27,3.07E-05,0,0,1,1
196,114.3333333,0.048,0.00563,0.0246,0.0897,1.13,0.086,0,5.25E-07,0,0,0,1,0
197,29.6,0.0531,0.00302,0.0621,0.035,0.66,0.751,0.168,2.33E-23,3.71E-05,0,0,1,1
198,57,0.0314,0.000624,0.089,0.0472,1.22,0.886,0.312,1.57E-62,1.36E-05,0,0,1,1
199,98.66666667,0.0133,0.00265,0.0572,0.0354,1.02,0.837,0.34,1.60E-28,4.85E-06,0,0,1,1
200,49,0.0193,0.00894,0.0363,0.0481,1.44,0.669,0,2.95E-10,0,0,0,1,0
201,96,0.0585,0.0079,0.0167,0.0265,0.97,0.742,0.304,8.10E-12,4.53E-06,0,0,1,1
202,93,0.0115,0.00488,0.0274,0.0652,0.905,0.738,0,5.21E-13,0,0,0,1,0
203,54.66666667,0.079,0.00602,0.0286,0.0592,1.39,0.648,0,1.17E-07,0,0,0,1,0
204,85,0.054,0.00891,0.0251,0.0823,1.11,0.07,0,7.94E-07,0,0,0,1,0
205,83,0.0288,0.00843,0.0345,0.0677,0.959,0.115,0,1.67E-07,0,0,0,1,0
206,82.66666667,0.0498,0.00736,0.0935,0.075,1.28,0.057,0,1.89E-06,0,0,0,1,0
207,62.33333333,0.0469,0.00147,0.0298,0.078,0.68,0.701,0,2.45E-07,0,0,0,1,0
208,9.533333333,0.1,0.000822,0.0748,0.0438,1.07,0.673,0,1.44E-06,0,0,0,1,0
209,82.66666667,0.0802,0.00772,0.0971,0.0413,1.34,0.788,0.25,8.94E-22,3.17E-05,0,0,1,1
210,89,0.0664,0.0065,0.0457,0.0588,1.15,0.714,0,2.63E-11,0,0,0,1,0
211,81,0.0391,0.00299,0.0137,0.0938,0.661,0.057,0,1.07E-06,0,0,0,1,0
212,18.03333333,0.062,0.00142,0.0415,0.0272,1.07,0.693,0.16,6.12E-23,2.16E-05,0,0,1,1
213,87.33333333,0.0385,0.00166,0.0188,0.054,0.79,0.845,0.308,8.95E-16,2.48E-05,0,0,1,1
214,95,0.0625,0.00124,0.0915,0.0957,1.42,0.73,0,1.82E-06,0,0,0,1,0
215,80.33333333,0.0556,0.00504,0.0755,0.0373,0.724,0.804,0.283,7.56E-26,1.89E-05,0,0,1,1
216,103,0.0184,0.00151,0.0698,0.0845,1.26,0.705,0,1.85E-07,0,0.107,5.31E-07,2,0
217,115.3333333,0.0807,0.000921,0.00154,0.089,0.619,0.8,0,1.22E-07,0,0,0,1,0
218,92.33333333,0.0879,0.0074,0.0138,0.0333,1.24,0.734,0.283,1.98E-10,1.53E-05,0,0,1,1
219,98.33333333,0.0302,0.00225,0.00286,0.0577,1.14,0.755,0.287,6.17E-09,3.19E-05,0,0,1,1
220,65.33333333,0.0473,0.00646,0.0341,0.0602,1.42,0.673,0,2.81E-08,0,0,0,1,0
221,29.7,0.0645,0.00489,0.0919,0.0487,0.737,0.701,0,4.36E-09,0,0,0,1,0
222,88.66666667,0.0945,0.00313,0.0732,0.0773,1.29,0.804,0,4.41E-07,0,0,0,1,0
223,47,0.047,0.000195,0.0486,0.0502,0.635,0.874,0.308,5.31E-30,1.23E-05,0,0,1,1
224,91,0.0925,0.00205,0.0183,0.0513,0.585,0.841,0.32,6.35E-15,2.19E-05,0,0,1,1
225,50,0.0772,0.00831,0.0627,0.0577,0.642,0.644,0,1.53E-07,0,0,0,1,0
226,49.33333333,0.058,0.00857,0.0679,0.0541,1.27,0.669,0,3.05E-08,0,0,0,1,0
227,82,0.0418,0.00465,0.0209,0.0772,1.06,0.094,0,3.47E-07,0,0,0,1,0
228,81.66666667,0.0156,0.00984,0.0166,0.0722,1.21,0.09,0,2.15E-07,0,0,0,1,0
229,102.3333333,0.0451,0.00496,0.0414,0.0545,1.5,0.755,0.246,8.63E-18,3.83E-05,0,0,1,1
230,58.66666667,0.0888,0.00255,0.0845,0.0687,1.42,0.8,0,1.04E-07,0,0,0,1,0
231,37.33333333,0.058,0.000665,0.0694,0.0694,1.43,0.812,0,3.88E-07,0,0,0,1,0
